name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Anurag Khandelwal,Yale University,2022,Program,Male,Male,NorAm,2019
Ana Klimovic,ETH Zurich,2022,Program,Female,Female,EU,2019
Dejan Kostic,KTH Royal Institute of Technology,2022,Program,Male,Male,EU,2005
Franck Le,IBM Research,2022,Program,Male,Male,NorAm,2010
Kate Lin,National Chiao Tung University,2022,Program,,Female,Asia,2009
Zaoxing Alan Liu,Boston University,2022,Program,,Male,NorAm,2018
Jay Lorch,Microsoft Research,2022,Program,Male,Male,NorAm,2001
Jonathan Mace,Max Planck Institute for Software Systems (MPI-SWS),2022,Program,Male,Male,EU,2018
Harsha Madhyastha,University of Michigan,2022,Program,,Male,NorAm,2008
Aurojit Panda,New York University,2022,Program,Male,Male,NorAm,2017
Kyoongsoo Park,Korea Advanced Institute of Science and Technology (KAIST),2022,Program,Male,Male,Asia,2007
Chunyi Peng,Purdue University,2022,Program,Female,Female,NorAm,2013
Ben Pfaff,VMware Research,2022,Program,Male,Male,NorAm,2007
George Porter,"University of California, San Diego",2022,Program,Male,Male,NorAm,2008
Costin Raiciu,University Politehnica of Bucharest and Correct Networks,2022,Program,Male,Male,EU,2011
Robert Ricci,University of Utah,2022,Program,Male,Male,NorAm,2010
Michael Schapira,The Hebrew University of Jerusalem,2022,Program,Male,Male,Asia,2008
Stefan Schmid,Technische Universität Berlin and University of Vienna,2022,Program,,Male,EU,2008
Brent Stephens,University of Utah,2022,Program,,Male,NorAm,2015
Laurent Vanbever,ETH Zurich,2022,Program,Male,Male,EU,2012
Shivaram Venkataraman,University of Wisconsin—Madison,2022,Program,Male,Male,NorAm,2017
David Walker,Princeton University,2022,Program,Male,Male,NorAm,2001
Jia Wang,AT&T Labs,2022,Program,Female,Female,NorAm,2001
Michael Wei,VMware Research,2022,Program,Male,Male,NorAm,2017
John Wilkes,Google,2022,Program,Male,Male,NorAm,1982
Xiaowei Yang,Duke University,2022,Program,Female,Female,NorAm,2004
Minlan Yu,Harvard University,2022,Program,Female,Female,NorAm,2011
Ellen Zegura,Georgia Institute of Technology,2022,Program,,Female,NorAm,1993
Ying Zhang,Facebook,2022,Program,Female,Female,NorAm,2009
Yiying Zhang,"University of California, San Diego",2022,Program,Female,Female,NorAm,2013
Ben Zhao,University of Chicago,2022,Program,Male,Male,NorAm,2004
Wenting Zheng,Carnegie Mellon University,2022,Program,Female,Female,NorAm,2020
Lin Zhong,Yale University,2022,Program,Male,Male,NorAm,2005
Danyang Zhuo,Duke University,2022,Program,Male,Male,NorAm,2019
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2023,Program,,Female,NorAm,2019
Fadel Adib,Massachusetts Institute of Technology,2023,Program,Male,Male,NorAm,2016
Rachit Agarwal,Cornell University,2023,Program,,Male,NorAm,2012
Aditya Akella,The University of Texas at Austin,2023,Program,Male,Male,NorAm,2005
Deniz Altinbuken,Google,2023,Program,Female,Female,NorAm,2017
Ganesh Ananthanarayanan,Microsoft Research,2023,Program,Male,Male,NorAm,2013
Maria Apostolaki,Princeton University,2023,Program,Female,Female,NorAm,2021
Katerina Argyraki,EPFL,2023,Program,,Female,EU,2007
Behnaz Arzani,Microsoft Research,2023,Program,Female,Female,NorAm,2017
Adam Belay,Massachusetts Institute of Technology,2023,Program,Male,Male,NorAm,2016
Ken Birman,Cornell University,2023,Program,Male,Male,NorAm,1981
Matthew Caesar,University of Illinois at Urbana–Champaign,2023,Program,,Male,NorAm,2007
Marco Canini,KAUST,2023,Program,Male,Male,Asia,2009
Ranveer Chandra,Microsoft Research,2023,Program,Male,Male,NorAm,2005
Ang Chen,Rice University,2023,Program,Male,Male,NorAm,2017
Paolo Costa,Microsoft Research,2023,Program,Male,Male,EU,2002
Murat Demirbas,Amazon,2023,Program,Male,Male,NorAm,2004
Nandita Dukkipati,Google,2023,Program,Female,Female,NorAm,2007
Ramakrishnan Durairajan,University of Oregon,2023,Program,Male,Male,NorAm,2017
Giuila Fanti,Carnegie Mellon University,2023,Program,,Female,NorAm,2015
Anja Feldmann,Max Planck Institute for Informatics,2023,Program,Female,Female,EU,1995
Bryan Ford,EPFL,2023,Program,Male,Male,NorAm,2008
Yashar Ganjali,"University of Toronto, Huawei Canada",2023,Program,Male,Male,NorAm,2006
Mojgan Ghasemi,Google,2023,Program,Female,Female,NorAm,2017
Yasaman Ghasempour,Princeton University,2023,Program,Female,Female,NorAm,2020
Soudeh Ghorbani,Johns Hopkins University,2023,Program,Female,Female,NorAm,2016
Shyam Gollakota,University of Washington,2023,Program,Male,Male,NorAm,2013
Prateesh Goyal,Microsoft Research,2023,Program,Male,Male,NorAm,2021
Arpit Gupta,"University of California, Santa Barbara",2023,Program,Male,Male,NorAm,2018
Indranil Gupta,University of Illinois at Urbana–Champaign,2023,Program,Male,Male,NorAm,2004
Hamed Haddadi,Imperial College London,2023,Program,Male,Male,EU,2008
Andreas Haeberlen,University of Pennsylvania,2023,Program,Male,Male,NorAm,2009
Dongsu Han,Korea Advanced Institute of Science and Technology (KAIST),2023,Program,Male,Male,Asia,2012
Haitham Hassanieh,University of Illinois at Urbana–Champaign,2023,Program,Male,Male,NorAm,2016
Michio Honda,University of Edinburgh,2023,Program,Male,Male,EU,2012
Jon Howell,VMware Research,2023,Program,Male,Male,NorAm,2000
Wenjun Hu,Yale University,2023,Program,Female,Female,NorAm,2008
Rebecca Isaacs,Amazon,2023,Program,Female,Female,NorAm,2000
Anand Iyer,Microsoft Research,2023,Program,Male,Male,NorAm,2019
Vikram Iyer,University of Washington,2023,Program,Male,Male,NorAm,2021
Zhihao Jia,Carnegie Mellon University,2023,Program,Male,Male,NorAm,2020
Junchen Jiang,University of Chicago,2023,Program,Male,Male,NorAm,2017
Xin Jin,Peking University,2023,Program,Male,Male,Asia,2016
Srikanth Kandula,Microsoft Research,2023,Program,Male,Male,NorAm,2008
Sachin Katti,Stanford University,2023,Program,Male,Male,NorAm,2008
Anurag Khandelwal,Yale University,2023,Program,Male,Male,NorAm,2019
Song Min Kim,Korea Advanced Institute of Science and Technology (KAIST),2023,Program,Male,Male,Asia,2016
Marios Kogias,Imperial College London,2023,Program,Male,Male,EU,2020
Dejan Kostic,KTH Royal Institute of Technology,2023,Program,Male,Male,EU,2005
Gautam Kumar,Google,2023,Program,Male,Male,NorAm,?
Jeongkeun Lee,Intel,2023,Program,Male,Male,NorAm,2007
Alan (Zaoxing) Liu,Boston University,2023,Program,,Male,NorAm,2018
Grace Liu,NYU Shanghai,2023,Program,Female,Female,Asia,2019
Jay Lorch,Microsoft Research,2023,Program,Male,Male,NorAm,2001
Harsha Madhyastha,University of Michigan,2023,Program,,Male,NorAm,2008
Morley Z. Mao,University of Michigan,2023,Program,,Female,NorAm,2003
James Mickens,Harvard University,2023,Program,Male,Male,NorAm,2008
Radhika Mittal,University of Illinois at Urbana–Champaign,2023,Program,Female,Female,NorAm,2018
Jayashree Mohan,Microsoft Research India,2023,Program,Female,Female,Asia,2021
Iqbal Mohomed,Samsung AI Center Toronto,2023,Program,Male,Male,NorAm,2008
Shuai Mu,Stony Brook University,2023,Program,Male,Male,NorAm,2015
Rajalakshmi Nandakumar,Cornell Tech,2023,Program,Female,Female,NorAm,2019
Srinivas Narayana,Rutgers University,2023,Program,Male,Male,NorAm,2016
Ravi Netravali,Princeton University,2023,Program,Male,Male,NorAm,2018
Amy Ousterhout,"University of California, Berkeley",2023,Program,Female,Female,NorAm,2019
Aurojit Panda,New York University,2023,Program,Male,Male,NorAm,2017
Peter Pietzuch,Imperial College London,2023,Program,,Male,EU,2004
Sanjay Rao,Purdue University,2023,Program,Male,Male,NorAm,2004
Jennifer Rexford,Princeton University,2023,Program,Female,Female,NorAm,1996
Nirupam Roy,"University of Maryland, College Park",2023,Program,Male,Male,NorAm,2018
Ahmed Saeed,Georgia Institute of Technology,2023,Program,,Male,NorAm,2019
Raja Sambasivan,Tufts University,2023,Program,,Male,NorAm,2013
Stefan Schmid,Technische Universität Berlin,2023,Program,,Male,EU,2008
Aaron Schulman,"University of California, San Diego",2023,Program,Male,Male,NorAm,2013
Siddhartha Sen,Microsoft Research,2023,Program,,Male,NorAm,2012
Srinivasan Seshan,Carnegie Mellon University,2023,Program,Male,Male,NorAm,1995
Muhammad Shahbaz,Purdue University,2023,Program,Male,Male,NorAm,2018
Rachee Singh,Microsoft Research,2023,Program,Female,Female,NorAm,2021
Dimitrios Skarlatos 0002,Carnegie Mellon University,2023,Program,Male,Male,NorAm,2020
Alex Snoeren,"University of California, San Diego",2023,Program,,Male,NorAm,2002
Brent Stephens,University of Utah,2023,Program,,Male,NorAm,2015
Mina Tahmasbi,Cornell University,2023,Program,,Female,NorAm,2019
Amy Tai,Google,2023,Program,Female,Female,NorAm,2018
Doug Terry,Amazon,2023,Program,Male,Male,NorAm,1984
Amin Vahdat,Google,2023,Program,Male,Male,NorAm,1998
Hakim Weatherspoon,Cornell University,2023,Program,Male,Male,NorAm,2006
Michael Wei,VMware Research,2023,Program,Male,Male,NorAm,2017
John Wilkes,Google,2023,Program,Male,Male,NorAm,1982
Keith Winstein,Stanford University,2023,Program,Male,Male,NorAm,2014
Yiting Xia,Max Planck Institute for Informatics,2023,Program,Female,Female,EU,2018
Tianyin Xu,University of Illinois at Urbana–Champaign,2023,Program,Male,Male,NorAm,2017
Neeraja Yadwadkar,The University of Texas at Austin,2023,Program,,Female,NorAm,2018
Francis Yan,Microsoft Research,2023,Program,,Male,Asia,2020
Ellen Zegura,Georgia Institute of Technology,2023,Program,,Female,NorAm,1993
Ennan Zhai,Alibaba,2023,Program,Male,Male,NorAm,2015
Ying Zhang,Meta,2023,Program,Female,Female,NorAm,2009
Ben Zhao,University of Chicago,2023,Program,Male,Male,NorAm,2004
Zhizhen Zhong,Massachusetts Institute of Technology,2023,Program,Male,Male,NorAm,2019
Danyang Zhuo,Duke University,2023,Program,Male,Male,NorAm,2019
Thomas Anderson,University of Washington,2009,Steering,,Male,NorAm,1991
Brian Noble,University of Michigan,2009,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2009,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2009,Steering,Male,Male,NorAm,1972
Chandu Thekkath,Microsoft Research,2009,Steering,Male,Male,NorAm,1994
Amin Vahdat,"University of California, San Diego",2009,Steering,Male,Male,NorAm,1998
Ellie Young,USENIX,2009,Steering,Female,Female,NorAm,?
Thomas Anderson,University of Washington,2010,Steering,,Male,NorAm,1991
Brian Noble,University of Michigan,2010,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2010,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2010,Steering,Male,Male,NorAm,1972
Chandu Thekkath,Microsoft Research,2010,Steering,Male,Male,NorAm,1994
Amin Vahdat,"University of California, San Diego",2010,Steering,Male,Male,NorAm,1998
Ellie Young,USENIX,2010,Steering,Female,Female,NorAm,?
Thomas Anderson,University of Washington,2011,Steering,,Male,NorAm,1991
Brian Noble,University of Michigan,2011,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2011,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2011,Steering,Male,Male,NorAm,1972
Chandu Thekkath,Microsoft Research,2011,Steering,Male,Male,NorAm,1994
Amin Vahdat,"University of California, San Diego",2011,Steering,Male,Male,NorAm,1998
Ellie Young,USENIX,2011,Steering,Female,Female,NorAm,?
Brian Noble,University of Michigan,2012,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2012,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2012,Steering,Male,Male,NorAm,1972
Alex C. Snoeren,"University of California, San Diego",2012,Steering,Male,Male,NorAm,2002
Chandu Thekkath,Microsoft Research,2012,Steering,Male,Male,NorAm,1994
Amin Vahdat,"University of California, San Diego",2012,Steering,Male,Male,NorAm,1998
Casey Henderson,USENIX Association,2013,Steering,Female,Female,NorAm,None
Brian Noble,University of Michigan,2013,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2013,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2013,Steering,Male,Male,NorAm,1972
Alex C. Snoeren,"University of California, San Diego",2013,Steering,Male,Male,NorAm,2002
Chandu Thekkath,Microsoft Research,2013,Steering,Male,Male,NorAm,1994
Amin Vahdat,"University of California, San Diego",2013,Steering,Male,Male,NorAm,1998
Casey Henderson,USENIX Association,2014,Steering,Female,Female,NorAm,None
Arvind Krishnamurthy,University of Washington,2014,Steering,Male,Male,NorAm,1998
Brian Noble,University of Michigan,2014,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2014,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2014,Steering,Male,Male,NorAm,1972
Alex C. Snoeren,"University of California, San Diego",2014,Steering,Male,Male,NorAm,2002
Chandu Thekkath,Microsoft Research,2014,Steering,Male,Male,NorAm,1994
Nick Feamster,Princeton University,2015,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2015,Steering,Female,Female,NorAm,None
Arvind Krishnamurthy,University of Washington,2015,Steering,Male,Male,NorAm,1998
Brian Noble,University of Michigan,2015,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2015,Steering,Female,Female,NorAm,1996
Mike Schroeder,Microsoft Research,2015,Steering,Male,Male,NorAm,1972
Alex C. Snoeren,"University of California, San Diego",2015,Steering,Male,Male,NorAm,2002
Paul Barham,Google,2016,Steering,Male,Male,NorAm,1996
Nick Feamster,Princeton University,2016,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2016,Steering,Female,Female,NorAm,None
Arvind Krishnamurthy,University of Washington,2016,Steering,Male,Male,NorAm,1998
Brian Noble,University of Michigan,2016,Steering,Male,Male,NorAm,1998
Jennifer Rexford,Princeton University,2016,Steering,Female,Female,NorAm,1996
Alex C. Snoeren,"University of California, San Diego",2016,Steering,Male,Male,NorAm,2002
Katerina Argyraki,EPFL,2017,Steering,,Female,EU,2007
Paul Barham,Google,2017,Steering,Male,Male,NorAm,1996
Nick Feamster,Princeton University,2017,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2017,Steering,Female,Female,NorAm,None
Arvind Krishnamurthy,University of Washington,2017,Steering,Male,Male,NorAm,1998
Jeff Mogul,Google,2017,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2017,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2017,Steering,Male,Male,EU,1995
Alex C. Snoeren,"University of California, San Diego",2017,Steering,Male,Male,NorAm,2002
Aditya Akella,University of Wisconsin–Madison,2018,Steering,Male,Male,NorAm,2005
Katerina Argyraki,EPFL,2018,Steering,,Female,EU,2007
Paul Barham,Google,2018,Steering,Male,Male,NorAm,1996
Nick Feamster,Princeton University,2018,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2018,Steering,Female,Female,NorAm,None
Jon Howell,Google,2018,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2018,Steering,Male,Male,NorAm,1998
Jeff Mogul,Google,2018,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2018,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2018,Steering,Male,Male,EU,1995
Alex C. Snoeren,"University of California, San Diego",2018,Steering,Male,Male,NorAm,2002
Aditya Akella,University of Wisconsin–Madison,2019,Steering,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Steering,,Female,EU,2007
Sujata Banerjee,VMware Research,2019,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2019,Steering,Male,Male,NorAm,1996
Nick Feamster,Princeton University,2019,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2019,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2019,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2019,Steering,Male,Male,NorAm,1998
Jeff Mogul,Google,2019,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2019,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2019,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2019,Steering,Male,Male,NorAm,1995
Aditya Akella,University of Wisconsin–Madison,2020,Steering,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2020,Steering,,Female,EU,2007
Sujata Banerjee,VMware Research,2020,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2020,Steering,Male,Male,NorAm,1996
Nick Feamster,University of Chicago,2020,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2020,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2020,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2020,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2020,Steering,Male,Male,NorAm,2001
Jeff Mogul,Google,2020,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2020,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2020,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2020,Steering,Male,Male,NorAm,1995
Minlan Yu,Harvard University,2020,Steering,Female,Female,NorAm,2011
Aditya Akella,University of Wisconsin–Madison,2021,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2021,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2021,Steering,Male,Male,NorAm,1996
Nick Feamster,University of Chicago,2021,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2021,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2021,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2021,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2021,Steering,Male,Male,NorAm,2001
Jeff Mogul,Google,2021,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2021,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2021,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2021,Steering,Male,Male,NorAm,1995
Minlan Yu,Harvard University,2021,Steering,Female,Female,NorAm,2011
Aditya Akella,University of Wisconsin–Madison,2022,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2022,Steering,Female,Female,NorAm,1993
Ranjita Bhagwan,Microsoft Research India,2022,Steering,Female,Female,Asia,2004
Casey Henderson,USENIX Association,2022,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2022,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2022,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2022,Steering,Male,Male,NorAm,2001
James Mickens,Harvard University,2022,Steering,Male,Male,NorAm,2008
Jeff Mogul,Google,2022,Steering,Male,Male,NorAm,1986
George Porter,"University of California, San Diego",2022,Steering,Male,Male,NorAm,2008
Timothy Roscoe,ETH Zurich,2022,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2022,Steering,Male,Male,NorAm,1995
Renata Teixeira,Netflix,2022,Steering,Female,Female,EU,2005
Minlan Yu,Harvard University,2022,Steering,Female,Female,NorAm,2011
Aditya Akella,The University of Texas at Austin,2023,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2023,Steering,Female,Female,NorAm,1993
Ranjita Bhagwan,Microsoft Research India,2023,Steering,Female,Female,Asia,2004
Casey Henderson,USENIX Association,2023,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2023,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2023,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2023,Steering,Male,Male,NorAm,2001
James Mickens,Harvard University,2023,Steering,Male,Male,NorAm,2008
Amar Phanishayee,Microsoft Research,2023,Steering,Male,Male,NorAm,2012
George Porter,"University of California, San Diego",2023,Steering,Male,Male,NorAm,2008
Vyas Sekar,Carnegie Mellon University,2023,Steering,Male,Male,NorAm,2010
Renata Teixeira,Netflix,2023,Steering,Female,Female,EU,2005
Minlan Yu,Harvard University,2023,Steering,Female,Female,NorAm,2011
