name,region,year,committee,DirectMatch,FuzzyMatch,Continent,GenderGuesser,Gender,Source
Aditya Akella,University of Wisconsin—Madison,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne  (EPFL),2013,Program,,Female,Europe,female,Female,FuzzyMatch
Suman Banerjee,University of Wisconsin—Madison,2013,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Matthew Caesar,University of Illinois at Urbana-Champaign,2013,Program,,Male,North America,male,Male,FuzzyMatch
Jeff Chase,Duke University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Bryan Ford,Yale University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Mike Freedman,Princeton University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Krishna Gummadi,Max Planck Institute for Software Systems (MPI-SWS),2013,Program,,Male,Europe,andy,Male,FuzzyMatch
Rebecca Isaacs,Microsoft Research,2013,Program,Female,Female,North America,female,Female,FullNameMatch
Jaeyeon Jung,Microsoft Research,2013,Program,Female,Female,North America,unknown,Female,FullNameMatch
Brad Karp,University College London,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Dejan Kostić,Institute IMDEA Networks,2013,Program,,Male,Europe,male,Male,FuzzyMatch
Arvind Krishnamurthy,University of Washington,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Wenke Lee,Georgia Institute of Technology,2013,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Dave Levin,University of Maryland,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Philip Levis,Stanford University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Ratul Mahajan,Microsoft Research,2013,Program,Male,Male,North America,unknown,Male,FullNameMatch
James  Mickens,Microsoft Research,2013,Program,,Male,North America,male,Male,FuzzyMatch
Andrew Moore,University of Cambridge,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Richard Mortier,University of Nottingham,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Michael Piatek,Google,2013,Program,Male,Male,North America,male,Male,FullNameMatch
George Porter,"University of California, San Diego",2013,Program,Male,Male,North America,male,Male,FullNameMatch
Luigi Rizzo,Università di Pisa,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Lakshminarayanan Subramanian,New York University,2013,Program,Male,Male,North America,unknown,Male,FullNameMatch
Renata Teixeira,CNRS and UPMC Sorbonne Universités,2013,Program,Female,Female,Europe,female,Female,FullNameMatch
Kobus Van der Merwe,University of Utah,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Michael Walfish,"University of Texas, Austin",2013,Program,Male,Male,North America,male,Male,FullNameMatch
Heather Zheng,"University of California, Santa Barbara",2013,Program,Female,Female,North America,female,Female,FullNameMatch
Katerina Argyraki,EPFL,2014,Program,,Female,Europe,female,Female,FuzzyMatch
Aruna Balasubramanian,University of Washington,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Miguel Castro,Microsoft Research Cambridge,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Prabal Dutta,University of Michigan,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mike Freedman,Princeton University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Ali  Ghodsi,"KTH Royal Institute of Technology and University of California, Berkeley",2014,Program,,Male,North America,male,Male,FuzzyMatch
Brighten Godfrey,University of Illinois at Urbana-Champaign,2014,Program,,Male,North America,unknown,Male,FuzzyMatch
Sharon Goldberg,Boston University,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Shyamnath Gollakota,University of Washington,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ramesh Govindan,University of Southern California,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Saikat Guha,Microsoft Research India,2014,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Kyle Jamieson,University College London,2014,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2014,Program,Male,Male,North America,male,Male,FullNameMatch
S. Keshav,University of Waterloo,2014,Program,,Male,North America,unknown,Male,FuzzyMatch
Changhoon Kim,Microsoft,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dejan Kostić,IMDEA Networks,2014,Program,,Male,Europe,male,Male,FuzzyMatch
T. V. Lakshman,Bell Labs,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Nikolaos Laoutaris,Telefónica,2014,Program,Male,Male,Europe,male,Male,FullNameMatch
Bruce Maggs,Duke University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
KyoungSoo Park,KAIST,2014,Program,Male,Male,Asia,unknown,Male,FullNameMatch
George Porter,"University of California, San Diego",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Lili Qiu,University of Texas,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Sanjay Rao,Purdue University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Jennifer Rexford,Princeton University,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Vyas Sekar,Stony Brook University,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Jonathan Smith,University of Pennsylvania,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Nina Taft,Technicolor,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Amin Vahdat,"Google and University of California, San Diego",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Walter Willinger,Niksun,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Yuan Yu,Microsoft,2014,Program,Male,Male,North America,andy,Male,FullNameMatch
Ben Zhao,"University of California, Santa Barbara",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Atul Adya,Google,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Aditya Akella,University of Wisconsin–Madison,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,EPFL,2015,Program,,Female,Europe,female,Female,FuzzyMatch
Hitesh Ballani,Microsoft Research Cambridge,2015,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Suman Banerjee,University of Wisconsin–Madison,2015,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Jeff Chase,Duke University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Jeff Dean,Google,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Prabal Dutta,University of Michigan,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Nick Feamster,Princeton University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Deepak Ganesan,University of Massachusetts Amherst,2015,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Sharon Goldberg,Boston University,2015,Program,Female,Female,North America,female,Female,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Mark Handley,University College London,2015,Program,Male,Male,Europe,male,Male,FullNameMatch
Jon Howell,Microsoft Research Redmond,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Jaeyeon Jung,Microsoft Research Redmond,2015,Program,Female,Female,North America,unknown,Female,FullNameMatch
Sachin Katti,Stanford University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Kimberly Keeton,HP Labs,2015,Program,Female,Female,North America,mostly_female,Female,FullNameMatch
Changhoon Kim,Barefoot Networks,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Eddie Kohler,Harvard University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2015,Program,Male,Male,Europe,male,Male,FullNameMatch
Kate Lin,Academia Sinica Taiwan,2015,Program,,Female,Asia,female,Female,FuzzyMatch
David Maltz,Microsoft Redmond,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Petros Maniatis,Google,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Alan Mislove,Northeastern University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Richard Mortier,University of Nottingham,2015,Program,Male,Male,Europe,male,Male,FullNameMatch
Dushyanth Narayanan,Microsoft Research Cambridge,2015,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Venkat Padmanabhan,Microsoft Research India,2015,Program,,Male,Asia,male,Male,FuzzyMatch
KyoungSoo Park,KAIST,2015,Program,Male,Male,Asia,unknown,Male,FullNameMatch
George Porter,"University of California, San Diego",2015,Program,Male,Male,North America,male,Male,FullNameMatch
Rama Ramasubramanian,Google,2015,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Franzi Roesner,University of Washington,2015,Program,Female,Female,North America,female,Female,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Neil Spring,University of Maryland,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Lakshminarayanan Subramanian,New York University,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Kobus van der Merwe,University of Utah,2015,Program,,Male,North America,male,Male,FuzzyMatch
Robbert van Renesse,Cornell University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2015,Program,Male,Male,North America,male,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Matei Zaharia,MIT CSAIL and Databricks,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Nickolai Zeldovich,MIT CSAIL,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Lidong Zhou,Microsoft Research Asia,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Aditya Akella,University of Wisconsin—Madison,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Mohammad Alizadeh,Massachusetts Institute of Technology,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Mona Attariyan,Google,2016,Program,Female,Female,North America,female,Female,FullNameMatch
Hari Balakrishnan,Massachusetts Institute of Technology,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Mahesh Balakrishnan,Yale University,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2016,Program,Female,Female,North America,female,Female,FullNameMatch
Sujata Banerjee,HP Labs,2016,Program,Female,Female,North America,female,Female,FullNameMatch
Paul Barford,University of Wisconsin—Madison and comScore,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Ranjita Bhagwan,Microsoft Research India,2016,Program,Female,Female,Asia,unknown,Female,FullNameMatch
Nathan Bronson,Facebook,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Paolo Costa,Microsoft Research,2016,Program,Male,Male,Europe,male,Male,FullNameMatch
Paul Francis,Max Planck Institute for Software Systems (MPI-SWS),2016,Program,Male,Male,Europe,male,Male,FullNameMatch
Monia (Manya) Ghobadi,Microsoft Research,2016,Program,Female,Female,North America,female,Female,FullNameMatch
Shyam Gollakota,University of Washington,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Jon Howell,Google,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Kyle Jamieson,Princeton University,2016,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Srikanth Kandula,Microsoft,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Brad Karp,University College London,2016,Program,Male,Male,Europe,male,Male,FullNameMatch
S. Keshav,University of Waterloo,2016,Program,,Male,North America,unknown,Male,FuzzyMatch
Changhoon Kim,Barefoot Networks,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ramakrishna Kotla,Amazon,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Jinyang Li,New York University,2016,Program,Female,Female,North America,unknown,Female,FullNameMatch
David Lie,University of Toronto,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Kate Ching-Ju Lin,"Academia Sinica, Taiwan",2016,Program,Female,Female,Asia,female,Female,FullNameMatch
Wyatt Lloyd,University of Southern California,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Jay Lorch,Microsoft Research,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Ratul Mahajan,Microsoft Research,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Prateek Mittal,Princeton University,2016,Program,,Male,North America,unknown,Male,FuzzyMatch
Thomas Moscibroda,Microsoft Research,2016,Program,Male,Male,North America,male,Male,FullNameMatch
David Oran,Cisco Systems,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Oriana Riva,Microsoft Research,2016,Program,Female,Female,North America,female,Female,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Siddhartha Sen,Microsoft Research,2016,Program,,Male,North America,unknown,Male,FuzzyMatch
Srinivasan Seshan,Carnegie Mellon University,2016,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ankit Singla,ETH Zürich,2016,Program,Male,Male,Europe,male,Male,FullNameMatch
Jonathan Smith,University of Pennsylvania,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Alex Snoeren,"University of California, San Diego",2016,Program,,Male,North America,male,Male,FuzzyMatch
Kobus Van der Merwe,University of Utah,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Laurent Vanbever,ETH Zürich,2016,Program,Male,Male,Europe,male,Male,FullNameMatch
Matt Welsh,Google,2016,Program,Male,Male,North America,male,Male,FullNameMatch
Sharad Agarwal,Microsoft,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Thomas E. Anderson,University of Washington,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2017,Program,Female,Female,North America,female,Female,FullNameMatch
Anirudh Badam,Microsoft,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mahesh Balakrishnan,Yale University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Fabian Bustamante,Northwestern University,2017,Program,,Male,North America,male,Male,FuzzyMatch
Ranveer Chandra,Microsoft,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
David Choffnes,Northeastern University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mosharaf Chowdhury,University of Michigan,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mike Dahlin,Google,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Anja Feldmann,Technische Universität Berlin,2017,Program,Female,Female,Europe,female,Female,FullNameMatch
Rodrigo Fonseca,Brown University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Nate Foster,Cornell University,2017,Program,Male,Male,North America,female,Male,FullNameMatch
Deepak Ganesan,University of Massachusetts Amherst,2017,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Phillipa Gill,University of Massachusetts Amherst,2017,Program,Female,Female,North America,female,Female,FullNameMatch
Srikanth Kandula,Microsoft,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Teemu Koponen,Styra,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Sanjeev Kumar,Uber,2017,Program,Male,Male,Asia,male,Male,FullNameMatch
Swarun Kumar,Carnegie Mellon University,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Wyatt Lloyd,University of Southern California,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Boon Thau Loo,University of Pennsylvania,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Jay Lorch,Microsoft,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Ratul Mahajan,Microsoft,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dahlia Malkhi,VMware,2017,Program,Female,Female,North America,female,Female,FullNameMatch
David Maltz,Microsoft,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Z. Morley Mao,University of Michigan,2017,Program,Female,Female,North America,unknown,Female,FullNameMatch
Michael Mitzenmacher,Harvard University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Jason Nieh,Columbia University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
George Porter,"University of California, San Diego",2017,Program,Male,Male,North America,male,Male,FullNameMatch
Luigi Rizzo,University of Pisa,2017,Program,Male,Male,Europe,male,Male,FullNameMatch
Srini Seshan,Carnegie Mellon University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Anees Shaikh,Google,2017,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ankit Singla,ETH Zurich,2017,Program,Male,Male,Europe,male,Male,FullNameMatch
Robbert van Renesse,Cornell University,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2017,Program,Male,Male,North America,male,Male,FullNameMatch
David Wetherall,Google,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Adam Wierman,California Institute of Technology,2017,Program,Male,Male,North America,male,Male,FullNameMatch
John Wilkes,Google,2017,Program,Male,Male,North America,male,Male,FullNameMatch
Minlan Yu,University of Southern California,2017,Program,Female,Female,North America,unknown,Female,FullNameMatch
Heather Zheng,"University of California, Santa Barbara",2017,Program,Female,Female,North America,female,Female,FullNameMatch
Lin Zhong,Rice University,2017,Program,Male,Male,North America,female,Male,FullNameMatch
Rachit Agarwal,Cornell University,2018,Program,,Male,North America,unknown,Male,FuzzyMatch
Mohamed Alizadeh,MIT,2018,Program,,Male,North America,male,Male,FuzzyMatch
Katerina Argyraki,EPFL,2018,Program,,Female,Europe,female,Female,FuzzyMatch
Ranjita Bhagwan,Microsoft Research,2018,Program,Female,Female,Asia,unknown,Female,FullNameMatch
Marco Canini,KAUST,2018,Program,Male,Male,Asia,male,Male,FullNameMatch
Kai Chen,HKUST,2018,Program,,Male,Asia,male,Male,FuzzyMatch
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2018,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mike Freedman,Princeton University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Roxana Geambasu,Columbia University,2018,Program,Female,Female,North America,female,Female,FullNameMatch
Shyam Gollakota,University of Washington,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Ramesh Govindan,USC,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Dongsu Han,KAIST,2018,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Jon Howell,Google,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Kyle Jamieson,Princeton University,2018,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Michael Kaminsky,Intel Labs,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Srikanth Kandula,Microsoft,2018,Program,Male,Male,North America,unknown,Male,FullNameMatch
Srinivas Keshav,University of Waterloo,2018,Program,,Male,Europe,male,Male,FuzzyMatch
Kyu-Han Kim,Hewlett Packard Labs,2018,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Eddie Kohler,Harvard University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Wyatt Lloyd,Princeton University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Boon Thau Loo,University of Pennsylvania,2018,Program,Male,Male,North America,unknown,Male,FullNameMatch
Jay Lorch,Microsoft,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Harsha V. Madhyastha,University of Michigan,2018,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dahlia Malkhi,VMware Research,2018,Program,Female,Female,North America,female,Female,FullNameMatch
KyongSoo Park,KAIST,2018,Program,,Male,Asia,unknown,Male,FuzzyMatch
Amar Phanishayee,Microsoft Research,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Raluca Ada Popa,"University of California, Berkeley",2018,Program,Female,Female,North America,female,Female,FullNameMatch
George Porter,"University of California, San Diego",2018,Program,Male,Male,North America,male,Male,FullNameMatch
Lili Qiu,UT Austin,2018,Program,Female,Female,North America,female,Female,FullNameMatch
Costin Raiciu,University Politehnica of Bucharest,2018,Program,Male,Male,Europe,male,Male,FullNameMatch
Timothy Roscoe,ETH Zurich,2018,Program,Male,Male,Europe,male,Male,FullNameMatch
Michael Schapira,Hebrew University,2018,Program,Male,Male,Asia,male,Male,FullNameMatch
Cole Schlesinger,Barefoot Networks,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2018,Program,Male,Male,North America,unknown,Male,FullNameMatch
Emin Gun Sirer,Cornell University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2018,Program,Male,Male,North America,male,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Keith Winstein,Stanford University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Timothy Wood 0001,George Washington University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Minlan Yu,Yale University,2018,Program,Female,Female,North America,unknown,Female,FullNameMatch
Matei Zaharia,Stanford University,2018,Program,Male,Male,North America,male,Male,FullNameMatch
Lin Zhong,Rice University,2018,Program,Male,Male,North America,female,Male,FullNameMatch
Fadel Adib,Massachusetts Institute of Technology,2019,Program,Male,Male,North America,male,Male,FullNameMatch
