name,region,year,committee,DirectMatch,FuzzyMatch,Continent,GenderGuesser,Gender,Source
Aditya Akella,University of Wisconsin—Madison,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,,Female,Europe,female,Female,FuzzyMatch
Aruna Balasubramanian,Stony Brook University,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Sujata Banerjee,VMware Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Paul Barham,Google,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Ranjita Bhagwan,Microsoft Research,2019,Program,Female,Female,Asia,unknown,Female,FullNameMatch
Kai Chen,Hong Kong University of Science and Technology,2019,Program,,Male,Asia,male,Male,FuzzyMatch
Vijay Chidambaram,The University of Texas at Austin and VMware Research,2019,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Mosharaf Chowdhury,University of Michigan,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Asaf Cidon,Barracuda Networks,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Anja Feldmann,Technische Universität Berlin,2019,Program,Female,Female,Europe,female,Female,FullNameMatch
Bryan Ford,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,Male,Male,North America,male,Male,FullNameMatch
Roxana Geambasu,Columbia University,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Manya Ghobadi,Microsoft Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Jana Giceva,Imperial College London,2019,Program,Female,Female,Europe,female,Female,FullNameMatch
Ronghui Gu,Columbia University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Haryadi Gunawi,University of Chicago,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Haitham Hassanieh,University of Illinois at Urbana-Champaign,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Jon Howell,VMware Research,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Rebecca Isaacs,Twitter,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Xin Jin,Johns Hopkins University,2019,Program,Male,Male,Asia,andy,Male,FullNameMatch
Srikanth Kandula,Microsoft Research,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Manos Kapritsos,University of Michigan,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Dejan Kostić,KTH Royal Institute of Technology,2019,Program,,Male,Europe,male,Male,FuzzyMatch
Ramakrishna Kotla,Amazon Web Services,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Hongqiang Liu,Alibaba,2019,Program,,Male,Asia,unknown,Male,FuzzyMatch
Harsha V. Madhyastha,University of Michigan and Google,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dahlia Malkhi,VMware Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Allison Mankin,Salesforce,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Derek Murray,Google,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Aurojit Panda,New York University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2019,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Amar Phanishayee,Microsoft Research,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Raluca Ada Popa,"University of California, Berkeley",2019,Program,Female,Female,North America,female,Female,FullNameMatch
George Porter,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Lili Qiu,The University of Texas at Austin,2019,Program,Female,Female,North America,female,Female,FullNameMatch
K. K. Ramakrishnan,"University of California, Riverside",2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Michael Schapira,Hebrew University of Jerusalem,2019,Program,Male,Male,Asia,male,Male,FullNameMatch
Cole Schlesinger,Amazon Web Services,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ankit Singla,ETH Zurich,2019,Program,Male,Male,Europe,male,Male,FullNameMatch
Anirudh Sivaraman,New York University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Michael Stumm,University of Toronto,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Ryan Stutsman,University of Utah,2019,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2019,Program,Male,Male,North America,male,Male,FullNameMatch
John Wilkes,Google,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Keith Winstein,Stanford University,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Jie Xiong,University of Massachusetts Amherst,2019,Program,,Male,North America,andy,Male,FuzzyMatch
James Hongyi Zeng,Facebook,2019,Program,,Male,North America,male,Male,FuzzyMatch
Irene Zhang,Microsoft Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Xinyu Zhang,"University of California, San Diego",2019,Program,,Male,North America,unknown,Male,FuzzyMatch
Lin Zhong,Rice University,2019,Program,Male,Male,North America,female,Male,FullNameMatch
Rachit Agarwal,Cornell University,2020,Program,,Male,North America,unknown,Male,FuzzyMatch
Aditya Akella,University of Wisconsin—Madison,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Mohammad Alizadeh,Massachusetts Institute of Technology,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Behnaz Arzani,Microsoft Research,2020,Program,Female,Female,North America,unknown,Female,FullNameMatch
Hitesh Ballani,Microsoft Research,2020,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Sujata Banerjee,VMware Research,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Ivan Beschastnikh,University of British Columbia,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Dinesh Bharadia,"University of California, San Diego",2020,Program,Male,Male,North America,male,Male,FullNameMatch
Fabian Bustamante,Northwestern University,2020,Program,,Male,North America,male,Male,FuzzyMatch
David Choffnes,Northeastern University,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Romit Roy Choudhury,University of Illinois at Urbana–Champaign,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Asaf Cidon,Columbia University,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Heming Cui,University of Hong Kong,2020,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Nate Foster,Cornell University,2020,Program,Male,Male,North America,female,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Arpit Gupta,"University of California, Santa Barbara",2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Hamed Haddadi,Imperial College London,2020,Program,Male,Male,Europe,male,Male,FullNameMatch
Rebecca Isaacs,Twitter,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Kyle Jamieson,Princeton University,2020,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Xin Jin,Johns Hopkins University,2020,Program,Male,Male,Asia,andy,Male,FullNameMatch
Dina Katabi,Massachusetts Institute of Technology,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Charles Killian,Google,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Taesoo Kim,Georgia Institute of Technology,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2020,Program,Male,Male,Europe,male,Male,FullNameMatch
Patrick P. C. Lee,The Chinese University of Hong Kong,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Andrew Moore,Cambridge University,2020,Program,Male,Male,Europe,male,Male,FullNameMatch
Ravi Netravali,"University of California, Los Angeles",2020,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Jitendra Padhye,Microsoft Research,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Aurojit Panda,New York University,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2020,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Bryan Parno,Carnegie Mellon University,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Simon Peter,The University of Texas at Austin,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Amar Phanishayee,Microsoft Research,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Ramachandran Ramjee,Microsoft Research,2020,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Cole Schlesinger,Barefoot Networks,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Aaron Schulman,"University of California, San Diego",2020,Program,Male,Male,North America,male,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ankit Singla,ETH Zurich,2020,Program,Male,Male,Europe,male,Male,FullNameMatch
Anirudh Sivaraman,New York University,2020,Program,Male,Male,North America,unknown,Male,FullNameMatch
Lalith Suresh,VMware Research,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Renata Teixeira,Inria,2020,Program,Female,Female,Europe,female,Female,FullNameMatch
Carmela Troncoso,École Polytechnique Fédérale de Lausanne (EPFL),2020,Program,Female,Female,Europe,female,Female,FullNameMatch
Amin Vahdat,Google,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Laurent Vanbever,ETH Zurich,2020,Program,Male,Male,Europe,male,Male,FullNameMatch
Rashmi Vinayak,Carnegie Mellon University,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Mythili Vutukuru,Indian Institute of Technology Bombay,2020,Program,Female,Female,Asia,unknown,Female,FullNameMatch
Meg Walraed-Sullivan,Set Your Intention,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Hakim Weatherspoon,Cornell University,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Keith Winstein,Stanford University,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Ding Yuan,University of Toronto,2020,Program,Male,Male,North America,andy,Male,FullNameMatch
Eitan Zahavi,Mellanox Technologies,2020,Program,Male,Male,Asia,male,Male,FullNameMatch
Ellen Zegura,Georgia Institute of Technology,2020,Program,,Female,North America,female,Female,FuzzyMatch
Ben Zhao,University of Chicago,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Lin Zhong,Rice University,2020,Program,Male,Male,North America,female,Male,FullNameMatch
Fadel Adib,Massachusetts Institute of Technology,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Rachit Agarwal,Cornell University,2021,Program,,Male,North America,unknown,Male,FuzzyMatch
Irfan Ahmad,Magnition,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2021,Program,,Female,Europe,female,Female,FuzzyMatch
Mahesh Balakrishnan,Facebook,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Sujata Banerjee,VMware,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Suman Banerjee,University of Wisconsin—Madison,2021,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Theo Benson,Brown University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Dinesh Bharadia,"University of California, San Diego",2021,Program,Male,Male,North America,male,Male,FullNameMatch
Pramod Bhatotia,TU Munich,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Olivier Bonaventure,Université catholique de Louvain,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Joseph Bonneau,New York University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Matthew Caesar 0001,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Ang Chen,Rice University,2021,Program,Male,Male,North America,andy,Male,FullNameMatch
Bo Chen,Meraki,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Kai Chen,Hong Kong University of Science & Technology,2021,Program,,Male,Asia,male,Male,FuzzyMatch
Mosharaf Chowdhury,University of Michigan,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Asaf Cidon,Columbia University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Italo Cunha,Universidade Federal de Minas Gerais,2021,Program,Male,Male,South America,male,Male,FullNameMatch
Nandita Dukkipati,Google,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Zakir Durumeric,Stanford University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Lars Eggert,NetApp,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Shyam Gollakota,University of Washington,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Haryadi Gunawi,University of Chicago,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Arpit Gupta,"University of California, Santa Barbara",2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Indranil Gupta,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Hamed Haddadi,Imperial College London,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Dongsu Han,Korea Advanced Institute of Science and Technology (KAIST),2021,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Haitham Hassanieh,University of Illinois at Urbana–Champaign,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Ryan Huang,Johns Hopkins University,2021,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Keon Jang,Max Planck Institute for Software Systems,2021,Program,Male,Male,Europe,andy,Male,FullNameMatch
Junchen Jiang,University of Chicago,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Anurag Khandelwal,Yale University,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Changhoon Kim,Barefoot Networks,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Haonan Lu,Princeton University and Microsoft Research,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Morley Mao,University of Michigan,2021,Program,,Female,North America,unknown,Female,FuzzyMatch
Shuai Mu,Stony Brook University,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Gilles Muller,Inria,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Rajalakshmi Nandakumar,Cornell University,2021,Program,Female,Female,North America,unknown,Female,FullNameMatch
Ravi Netravali,"University of California, Los Angeles",2021,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Rishab Nithyanand,University of Iowa,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dave Oran,Independent,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Dan Pei,Tsinghua University,2021,Program,Male,Male,Asia,male,Male,FullNameMatch
Barath Raghavan,University of Southern California,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Costin Raiciu,Universitatea Politehnica Bucuresti,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Jennifer Rexford,Princeton University,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Chris Rossbach,The University of Texas at Austin,2021,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Michael Schapira,The Hebrew University of Jerusalem,2021,Program,Male,Male,Asia,male,Male,FullNameMatch
Eric Schkufza,VMware,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Siddhartha Sen,Microsoft Research,2021,Program,,Male,North America,unknown,Male,FuzzyMatch
Srinivasan Seshan,Carnegie Mellon University,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Rob Sherwood,Facebook,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Alex Snoeren,"University of California, San Diego",2021,Program,,Male,North America,male,Male,FuzzyMatch
Ryan Stutsman,University of Utah,2021,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Srikanth Sundaresan,Facebook,2021,Program,Male,Male,North America,unknown,Male,FullNameMatch
Laurent Vanbever,ETH Zurich,2021,Program,Male,Male,Europe,male,Male,FullNameMatch
Peter Varman,Rice University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Matteo Varvello,Brave Software,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Joerg Widmer,IMDEA,2021,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Yongqiang Xiong,Microsoft Research Asia,2021,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Minlan Yu,Harvard University,2021,Program,Female,Female,North America,unknown,Female,FullNameMatch
Matei Zaharia,Stanford University,2021,Program,Male,Male,North America,male,Male,FullNameMatch
Irene Zhang,Microsoft Research,2021,Program,Female,Female,North America,female,Female,FullNameMatch
Yiying Zhang,"University of California, San Diego",2021,Program,Female,Female,North America,unknown,Female,FullNameMatch
Lin Zhong,Rice University,2021,Program,Male,Male,North America,female,Male,FullNameMatch
Noa Zilberman,University of Oxford,2021,Program,Female,Female,Europe,female,Female,FullNameMatch
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2022,Program,,Female,North America,unknown,Female,FuzzyMatch
Fadel Adib,Massachusetts Institute of Technology,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Behnaz Arzani,Microsoft Research,2022,Program,Female,Female,North America,unknown,Female,FullNameMatch
Anirudh Badam,Microsoft Research,2022,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mahesh Balakrishnan,Facebook,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Aruna Balasubramanian,Stony Brook University,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Hitesh Ballani,Microsoft Research,2022,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Sujata Banerjee,VMware Research,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Theo Benson,Brown University,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Matthew Caesar,University of Illinois at Urbana–Champaign,2022,Program,,Male,North America,male,Male,FuzzyMatch
Vijay Chidambaram,The University of Texas at Austin,2022,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Asaf Cidon,Columbia University,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Angela Demke Brown,University of Toronto,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Fahad Dogar,Tufts University,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Giulia Fanti,Carnegie Mellon University,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Rodrigo Fonseca,Microsoft Research,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Manya Ghobadi,Massachusetts Institute of Technology,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Soudeh Ghorbani,Johns Hopkins University,2022,Program,Female,Female,North America,unknown,Female,FullNameMatch
Phillipa Gill,Google,2022,Program,Female,Female,North America,female,Female,FullNameMatch
Brighten Godfrey,University of Illinois at Urbana–Champaign and VMware,2022,Program,,Male,North America,unknown,Male,FuzzyMatch
Shyam Gollakota,University of Washington,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Ramesh Govindan,University of Southern California,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Chuanxiong Guo,ByteDance,2022,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Kurtis Heimerl,University of Washington,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Wenjun Hu,Yale University,2022,Program,Female,Female,North America,unknown,Female,FullNameMatch
Kyle Jamieson,Princeton University,2022,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Junchen Jiang,University of Chicago,2022,Program,Male,Male,North America,unknown,Male,FullNameMatch
Anuj Kalia,Microsoft Research,2022,Program,Male,Male,North America,unknown,Male,FullNameMatch
Anurag Khandelwal,Yale University,2022,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ana Klimovic,ETH Zurich,2022,Program,Female,Female,Europe,female,Female,FullNameMatch
Dejan Kostic,KTH Royal Institute of Technology,2022,Program,Male,Male,Europe,male,Male,FullNameMatch
Franck Le,IBM Research,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Kate Lin,National Chiao Tung University,2022,Program,,Female,Asia,female,Female,FuzzyMatch
Zaoxing Alan Liu,Boston University,2022,Program,,Male,North America,unknown,Male,FuzzyMatch
Jay Lorch,Microsoft Research,2022,Program,Male,Male,North America,male,Male,FullNameMatch
Jonathan Mace,Max Planck Institute for Software Systems (MPI-SWS),2022,Program,Male,Male,Europe,male,Male,FullNameMatch
Harsha Madhyastha,University of Michigan,2022,Program,,Male,North America,unknown,Male,FuzzyMatch
Aurojit Panda,New York University,2022,Program,Male,Male,North America,unknown,Male,FullNameMatch
Kyoongsoo Park,Korea Advanced Institute of Science and Technology (KAIST),2022,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Chunyi Peng,Purdue University,2022,Program,Female,Female,North America,unknown,Female,FullNameMatch
Ben Pfaff,VMware Research,2022,Program,Male,Male,North America,male,Male,FullNameMatch
George Porter,"University of California, San Diego",2022,Program,Male,Male,North America,male,Male,FullNameMatch
Costin Raiciu,University Politehnica of Bucharest and Correct Networks,2022,Program,Male,Male,Europe,male,Male,FullNameMatch
